"Valuation Date","Last Movement Date",Organization,"Last Material Receipt Date","Org Warehouse",Locator,"Item Category","Item No","C_UOM_ID","On Hand Qty","C_Currency_ID","Moving Average Price","Price Value","C_Currency_ID_To","Current Price","Price Value","AD_Client_ID"
"31-01-2023","28-11-2022","CM_SMT","28-11-2022","CM01 Warehouse","MTS5002 Material Stock Free","Parts (Free parts)",STAPE0257MIZZ,m,"317,660",USD,"0.00","0.0",,"0.0","0.0","SHARP Manufacturing Vietnam"
"31-01-2023","31-01-2023","CM_SMT","02-01-2023","CM01 Warehouse","MTS5002 Material Stock Free","Parts (Free parts)","VHHNCP02XH1-M",PCS,"851,873",USD,"0.00","0.0",USD,"0.0","0.0","SHARP Manufacturing Vietnam"
"31-01-2023","19-10-2022","CM_SMT","17-10-2022","CM01 Warehouse","MTS5002 Material Stock Free","Parts (Free parts)","VHIAD5843A1-M",PCS,"5,640",USD,"0.00","0.0",,"0.0","0.0","SHARP Manufacturing Vietnam"
"31-01-2023","31-01-2023","CM_SMT","16-01-2023","CM01 Warehouse","MTS5002 Material Stock Free","Parts (Free parts)",VHIAD5844A09M,PCS,"782,227",USD,"0.00","0.0",,"0.0","0.0","SHARP Manufacturing Vietnam"
"31-01-2023","08-12-2022","CM_SMT","25-11-2022","CM01 Warehouse","MTS5002 Material Stock Free","Parts (Free parts)","VHMCS40L600-M",PCS,"670,679",USD,"0.00","0.0",USD,"0.0","0.0","SHARP Manufacturing Vietnam"
"31-01-2023","31-01-2023","CM_SMT","13-01-2023","CM01 Warehouse","MTS5002 Material Stock Free","Parts (Free parts)","VHMCS40L60A-M",PCS,"510,404",USD,"0.00","0.0",,"0.0","0.0","SHARP Manufacturing Vietnam"
"31-01-2023","31-01-2023","CM_SMT","16-01-2023","CM01 Warehouse","MTS5002 Material Stock Free","Parts (Free parts)","VHMCS40L61C-M",PCS,"264,000",USD,"0.00","0.0",,"0.0","0.0","SHARP Manufacturing Vietnam"
"31-01-2023","21-10-2022","CM_SMT","19-10-2022","CM01 Warehouse","MTS5002 Material Stock Free","Parts (Free parts)","VHMTAS1008A-M",PCS,"40,821",USD,"0.00","0.0",,"0.0","0.0","SHARP Manufacturing Vietnam"
"31-01-2023","31-01-2023","CM_SMT","14-01-2023","CM01 Warehouse","MTS5002 Material Stock Free","Parts (Free parts)","VHMTAS1008P-M",PCS,"1,631,986",USD,"0.00","0.0",,"0.0","0.0","SHARP Manufacturing Vietnam"
"31-01-2023","13-10-2022","CM_SMT","11-01-2022","CM01 Warehouse","MTS5002 Material Stock Free","Parts (Free parts)","VHMTAS1010A-M",PCS,"119,350",USD,"0.00","0.0",,"0.0","0.0","SHARP Manufacturing Vietnam"
